country,year,CO2,GHG(Indirect CO2),GHG,HFC,CH4,NF3,N2O,PFC,SF6,HFC+PFC
Belgium,2007,118027.408646158,136451.339269181,136451.339269181,2079.10324412977,8947.75520960759,null,7094.15143768088,224.05726098503,78.86347062,null
Belgium,2008,120362.609842562,138749.626056865,138749.626056865,2206.76147265269,8736.79424403213,0.6708,7102.80277274666,253.103557740221,86.883367131372,null
Belgium,2009,107282.543508312,125811.802030467,125811.802030467,2391.45687121243,8668.57366813667,0.5676,7229.43055480784,145.921106681532,93.308721316284,null
Belgium,2010,114155.386728776,133258.405661738,133258.405661738,2508.71471399671,8624.50488186377,1.3244,7759.83441618082,106.614406935151,102.026113985556,null
Belgium,2011,104945.713770963,122833.395512317,122833.395512317,2614.05044241905,8369.07132160191,2.47508,6564.49132627943,225.503225953068,112.090345100676,null
Belgium,2012,100931.595609756,118761.338189887,118761.338189887,2733.36088134647,8235.73548496177,1.118,6470.88988425807,278.209592092669,110.428737472536,null
Belgium,2013,101744.736736883,119375.301515447,119375.301515447,2703.01240606807,8098.24899175734,1.24184,6280.71600286632,431.59111681973,115.75442105304,null
Belgium,2014,96325.4131833302,113866.619000541,113866.619000541,2811.79733017371,8047.55231617697,0.68972,6278.98373750572,306.964411187965,95.218302166452,null
Bulgaria,1990,78197.8812570199,null,103450.784150903,null,16430.8375650653,null,8818.37141292847,null,3.693915889668,null
Bulgaria,1991,59769.3415026104,null,81926.0193674077,0.003135561,15313.2688547055,null,6839.49771151956,null,3.908163011292,null
Bulgaria,1992,56551.5935722778,null,77199.3461784947,0.010681702317,14869.2959926006,null,5774.31109544814,null,4.134836465796,null
Bulgaria,1993,57203.9355176784,null,76195.2991290819,0.02303703221005,13764.491318609,null,5222.4745987816,null,4.374656980788,null
Bulgaria,1994,55649.0813153431,null,72765.6151022367,2.15623391311342,12003.0873409571,null,5106.66182493753,null,4.628387085852,null
Bulgaria,1995,57221.6062924032,null,74262.0800943505,6.58680842977408,12051.2105618057,null,4977.77959817515,null,4.896833536644,null
